# golden-prompt PER-RUN ASSERTION OUTCOMES
#
# Lifted by hand from a --keep workdir: this run predates #590, which is what
# made --save-baseline write this file itself. The header below is copied from
# the size baseline beside it, and the pairing rests on that copy rather than
# on the tool having written both.
#
# agent:        nav-pilot
# date:         2026-09-01
# revision:     215a8807
# client:       copilot
# model:        kimi-k3
# repeat:       5
# instructions: 17 installed, 3 always-on
# fixture:      4263008951
# prompts:      all
#
# detail last, and only last: it can itself contain a pipe (the regexes quoted
# in test 4's messages do). Split on the first four delimiters and take the
# rest verbatim; field counts vary by row for that reason.
# id|run|status|assertion|detail
1|1|pass|trivial tier: no phase checkpoint emitted|
2|1|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|1|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette)
3|1|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|1|error|Fase 2 output contains a 🔴 Rød sone declaration|turn 1 did Fase 2 work (matched: ^● (Edit|Create|Write|Delete|Update)|Grønn sone) instead of stopping to interview, so turns 2 and 3 answered and confirmed an interview that never happened. That is test 2's failure to report, not test 4's — check test 2 first.
5|1|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|1|pass|routine rename: no escalation to @nav-pilot-opus|
1|2|pass|trivial tier: no phase checkpoint emitted|
2|2|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|2|soft-pass|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|
3|2|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|2|error|Fase 2 output contains a 🔴 Rød sone declaration|turn 1 did Fase 2 work (matched: ^● (Edit|Create|Write|Delete|Update)|Grønn sone) instead of stopping to interview, so turns 2 and 3 answered and confirmed an interview that never happened. That is test 2's failure to report, not test 4's — check test 2 first.
5|2|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|2|pass|routine rename: no escalation to @nav-pilot-opus|
1|3|pass|trivial tier: no phase checkpoint emitted|
2|3|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|3|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette)
3|3|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|3|pass|Fase 2 output contains a 🔴 Rød sone declaration|
5|3|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|3|pass|routine rename: no escalation to @nav-pilot-opus|
1|4|pass|trivial tier: no phase checkpoint emitted|
2|4|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|4|soft-pass|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|
3|4|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|4|error|Fase 2 output contains a 🔴 Rød sone declaration|turn 3 produced no Fase 2 plan (no match for: ^[^[:alnum:]]*Fase[[:space:]]*2[[:space:]]*:|^[^[:alnum:]]*Fase[[:space:]]*2[[:space:]]+ferdig) — a red-zone declaration is a property of a plan, so with no plan there is nothing to assert and this is not a pass. Either the interview did not close in turn 2 and the persona asked again, or the session did not carry the earlier turns. Re-run with --keep and read t4b and t4c in order.
5|4|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|4|pass|routine rename: no escalation to @nav-pilot-opus|
1|5|pass|trivial tier: no phase checkpoint emitted|
2|5|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|5|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette)
3|5|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|5|error|Fase 2 output contains a 🔴 Rød sone declaration|turn 1 did Fase 2 work (matched: ^● (Edit|Create|Write|Delete|Update)|Grønn sone) instead of stopping to interview, so turns 2 and 3 answered and confirmed an interview that never happened. That is test 2's failure to report, not test 4's — check test 2 first.
5|5|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|5|pass|routine rename: no escalation to @nav-pilot-opus|
