arm|prompt|run|model|fired|bytes
A|probe|1|claude-sonnet-5|no|2376
A|probe|2|claude-sonnet-5|no|2492
A|probe|3|claude-sonnet-5|no|1688
A|probe|4|claude-sonnet-5|no|2064
A|probe|5|claude-sonnet-5|no|1825
A|positive|1|claude-sonnet-5|yes|2902
A|positive|2|claude-sonnet-5|yes|2531
A|positive|3|claude-sonnet-5|yes|3001
B|probe|1|claude-sonnet-5|no|1902
B|probe|2|claude-sonnet-5|no|2366
B|probe|3|claude-sonnet-5|no|1793
B|probe|4|claude-sonnet-5|no|2226
B|probe|5|claude-sonnet-5|no|1911
B|positive|1|claude-sonnet-5|yes|2739
B|positive|2|claude-sonnet-5|yes|2104
B|positive|3|claude-sonnet-5|yes|3387
A|borderline|1|claude-sonnet-5|no|677
A|borderline|2|claude-sonnet-5|yes|1375
A|borderline|3|claude-sonnet-5|no|1364
A|borderline|4|claude-sonnet-5|yes|1212
A|borderline|5|claude-sonnet-5|no|1374
B|borderline|1|claude-sonnet-5|no|1780
B|borderline|2|claude-sonnet-5|no|1842
B|borderline|3|claude-sonnet-5|no|2259
B|borderline|4|claude-sonnet-5|no|1223
B|borderline|5|claude-sonnet-5|no|435
A|probe|1|gpt-5.6-luna|no|2880
A|probe|2|gpt-5.6-luna|no|3035
A|probe|3|gpt-5.6-luna|no|3055
A|probe|4|gpt-5.6-luna|no|3203
A|probe|5|gpt-5.6-luna|no|2821
A|positive|1|gpt-5.6-luna|yes|3131
A|positive|2|gpt-5.6-luna|yes|3178
A|positive|3|gpt-5.6-luna|yes|2174
B|probe|1|gpt-5.6-luna|no|2292
B|probe|2|gpt-5.6-luna|no|2467
B|probe|3|gpt-5.6-luna|no|2686
B|probe|4|gpt-5.6-luna|no|3509
B|probe|5|gpt-5.6-luna|no|2595
B|positive|1|gpt-5.6-luna|yes|4485
B|positive|2|gpt-5.6-luna|yes|2868
B|positive|3|gpt-5.6-luna|yes|3456
A|borderline|1|gpt-5.6-luna|yes|784
A|borderline|2|gpt-5.6-luna|yes|1076
A|borderline|3|gpt-5.6-luna|yes|837
A|borderline|4|gpt-5.6-luna|yes|1693
A|borderline|5|gpt-5.6-luna|yes|1728
B|borderline|1|gpt-5.6-luna|no|897
B|borderline|2|gpt-5.6-luna|no|1197
B|borderline|3|gpt-5.6-luna|no|1227
B|borderline|4|gpt-5.6-luna|no|1079
B|borderline|5|gpt-5.6-luna|no|1041
