# golden-prompt PER-RUN ASSERTION OUTCOMES
# agent:        nav-pilot
# date:         2026-09-02
# revision:     c98f7794
# model:        default
# instructions: 17 installed, 3 always-on
# repeat:       5
# fixture:      4263008951
# prompts:      all
#
# id|run|status|assertion|detail
1|1|pass|trivial tier: no phase checkpoint emitted|
2|1|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|1|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette); no blind-spot audit count (want: Blindsoner[^.]{0,40}[0-9]+[[:space:]]*/[[:space:]]*11)
3|1|fail|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|blind spot #2 (tilgangskontroll) not raised
4|1|pass|Fase 2 output contains a 🔴 Rød sone declaration|
5|1|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|1|pass|routine rename: no escalation to @nav-pilot-opus|
1|2|pass|trivial tier: no phase checkpoint emitted|
2|2|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|2|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette); no blind-spot audit count (want: Blindsoner[^.]{0,40}[0-9]+[[:space:]]*/[[:space:]]*11)
3|2|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|2|pass|Fase 2 output contains a 🔴 Rød sone declaration|
5|2|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|2|pass|routine rename: no escalation to @nav-pilot-opus|
1|3|pass|trivial tier: no phase checkpoint emitted|
2|3|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|3|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette); no blind-spot audit count (want: Blindsoner[^.]{0,40}[0-9]+[[:space:]]*/[[:space:]]*11)
3|3|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|3|pass|Fase 2 output contains a 🔴 Rød sone declaration|
5|3|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|3|pass|routine rename: no escalation to @nav-pilot-opus|
1|4|pass|trivial tier: no phase checkpoint emitted|
2|4|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|4|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette); no blind-spot audit count (want: Blindsoner[^.]{0,40}[0-9]+[[:space:]]*/[[:space:]]*11)
3|4|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|4|pass|Fase 2 output contains a 🔴 Rød sone declaration|
5|4|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|4|pass|routine rename: no escalation to @nav-pilot-opus|
1|5|pass|trivial tier: no phase checkpoint emitted|
2|5|pass|full tier: response stops after Fase 1 with questions outstanding|
2b|5|soft-fail|full tier: Fase 1 checkpoint block emitted, with the blind-spot count|no checkpoint header (want: Fase[[:space:]]+[0-9]+[[:space:]]+ferdig); no confirmation line (want: Bekreft for å fortsette); no blind-spot audit count (want: Blindsoner[^.]{0,40}[0-9]+[[:space:]]*/[[:space:]]*11)
3|5|pass|full tier: blind spots #1 (personvern) and #2 (tilgangskontroll) both raised|
4|5|pass|Fase 2 output contains a 🔴 Rød sone declaration|
5|5|pass|user context → TokenX, not Azure client_credentials  (canary)|
6|5|pass|routine rename: no escalation to @nav-pilot-opus|
